Movie_id	Actor_id	Name	Gender	Role
0059742	0000267	Julie Andrews	F	Maria
0059742	0001626	Christopher Plummer	M	Captain Von Trapp
0059742	0662223	Eleanor Parker	F	The Baroness
0120338	0000138	Leonardo DiCaprio	M	Jack Dawson
0120338	0000701	Kate Winslet	F	Rose Dewitt Bukater
0120338	0000708	Bily Zane	M	Cal Hockley
0125439	0000210	Julia Roberts	F	Anna Scott
0125439	0000424	Hugh Grant	M	William Thacker
0125439	0564500	Richard McCabe	M	Tony
0209144	0001602	Guy Pearce	M	Leonard
0209144	0005251	Carrie-Anne Moss	F	Natalie
0209144	0001592	Joe Pantoliano	M	Teddy
0314331	0631490	Bill Nighy	M	Billy Mack
0314331	0279524	Gregor Fisher	M	Joe
0314331	0000147	Colin Firth	M	Jamie
0332136	0001349	Jennifer Love Hewitt	F	Samantha Andrews
0332136	0629493	Paul Nicholls	M	Ian Wyndham
0332136	0929489	Tom Wilkinson	M	Taxi Driver
0471041	0001015	Robert Carlyle	M	Father MacAvoy
0471041	0005026	Kelly Hu	F	Lai Lai Zhen
0471041	0813812	Ian Somerhalder	M	Miles Slade
0482571	0413168	Hugh Jackman	M	Robert Angier
0482571	0000288	Christian Bale	M	Alfred Borden
0482571	0424060	Scarlett Johansson	F	Olivia Wenscombe
2209418	0000160	Ethan Hawke	M	Jesse
2209418	0000365	Julie Delpy	F	Celine
2209418	2089090	Seamus Davey-Fitzpatrick	M	Hank
8623904	10916154	Madison Ingoldsby	F	Young Kate
8623904	0000668	Emma Thompson	F	Petra
8623904	0410667	Boris Isakovic	M	Ivan
0080761	0658133	Betsy Palmer	F	Mrs. Voorhees
0080761	0454415	Adrienne King	F	Alice
0080761	0852551	Jeannine Taylor	F	Marcie
0082418	082438	Amy Steel	F	Ginny
0082418	029885	John Furey	M	Paul
0082418	0454415	Adrienne King	F	Alice
0083972	0111777	Richard Brooker	M	Jason
0083972	0454011	Dana Kimmell	F	Chris
0083972	0767352	Nick Savage	M	Ali
0087298	0036978	Judie Aronson	F	Samantha
0087298	0059228	Peter Barton	M	Doug
0087298	0026687	Erich Anderson	M	Rob 
0089173	0455687	Melanie Kinnaman	F	Pam
0089173	0228884	John Robert Dixon 	M	Eddie
0089173	0057450	Anthony Barrile	M	Vinnie
0091080	0558726	Thom Mathews	M	Tommy
0091080	0177438	Jennifer Cooke	F	Megan
0091080	0434563	David Kagen	M	Sheriff Garris
0095179	0052079	Jennifer Banko	F	Young Tina Shepard
0095179	0652965	John Otrin	M	Mr. John Shepard
0095179	0435218	Terry Kiser	M	Dr. Crews
0097388	0196762	Jensen Daggett	F	Rennie Wickham
0097388	0387987	Kane Hodder	M	Jason Voorhees
0097388	0129445	Todd Caldecott	M	Jim Miller
0112384	0000158	Tom Hanks	M	Jim Lovell
0112384	0000200	Bill Paxton	M	Fred Haise
0112384	0000102	Kevin Bacon	M	Jack Swigert
0496806	0000123	George Clooney	M	Danny Ocean
0496806	0000093	Brad Pitt	M	Rusty Ryan
0496806	0000354	Matt Damon	M	Linus Caldwell
1396218	0000120	Jim Carrey	M	Mr.Popper
1396218	0001303	Carla Gugino	F	Amanda
1396218	0001450	Angela Lansbury	F	Mr.Van Gundy
1620981	1209966	Oscar Isaac	M	Gomez Addams
1620981	0000234	Charlize Theron	F	Morticia Addams
1620981	1631269	Chloë Grace Moretz	F	Wednesday Addams
2245084	0012523	Scott Adsit	M	Baymax
2245084	3994407	Ryan Potter	M	Hiro
2245084	2024644	Daniel Henny	M	Tadashi
4123430	0000136	Johnny Depp	M	Grindelwald
4123430	2295590	Kevin Guthrie	M	Abernathy
4123430	0252238	Carmen Ejogo	F	Seraphina Picquery
5028340	1289434	Emily Blunt	F	Mary Poppins
5028340	0592135	Lin-Manuel Miranda	M	Jack
5028340	0924210	Ben Whishaw	M	Michael Banks
1911658	0569891	Tom McGrath	M	Skipper
1911658	1844237	Chris Miller	M	Kowalski
1911658	0970447	Conrad Vernon	M	Rico
0315327	0000120	Jim Carrey	M	Bruce Nolan
0315327	0000151	Morgan Freeman	M	God
0315327	0000098	Jennifer Aniston	F	Grace Connelly
0413099	0136797	Steve Carell	M	Evan Baxter
0413099	0000151	Morgan Freeman	M	God
0413099	0334179	Lauren Graham	F	Joan Baxter
0381707	0915465	Shawn Wayans	M	Kevin Copeland
0381707	0005541	Marlon Wayans	M	Marcus Copeland
0381707	0454809	Jaime King	F	Heather Vandergeld
1355644	2225369	Jennifer Lawrence	F	Aurora Lane
1355644	0695435	Chris Pratt	M	Jim Preston
1355644	0790688	Michael Sheen	M	Arthur
4126476	6466214	Josephine Langford	F	Tessa Young
4126476	2842005	Hero Fiennes Tiffin	M	Hardin Scott
0033467	0001072	Joseph Cotten	M	Jedediah Leland / Screening Room Reporter
0033467	0173827	Dorothy Comingore	F	Susan Alexander Kane
0034583	0000007	Humphrey Bogart	M	Rick Blaine
0034583	0000006	Ingrid Bergman	F	Ilsa Lund
0045152	0000037	Gene Kelly	M	Don Lockwood
0045152	0640307	Donald O'Connor	M	Cosmo Brown
0052357	0000071	James Stewart	M	John 'Scottie' Ferguson
0052357	0001571	Kim Novak	F	Madeleine Elster / Judy Barton
0032138	0000023	Judy Garland	F	Dorothy
0032138	0604656	Frank Morgan	M	Professor Marvel / The Wizard of Oz / The Gatekeeper / The Carriage Driver / The Guard
0081398	0000134	Robert De Niro	M	Jake La Motta
0081398	0001550	Cathy Moriarty	F	Vickie La Motta
0054215	0000578	Anthony Perkins	M	Norman Bates
0054215	0587256	Vera Miles	F	Lila Crane
0061722	0000843	Anne Bancroft	F	Mrs. Robinson
0061722	0000163	Dustin Hoffman	M	Ben Braddock
7880466	0283253	Wendee Lee	F	Conan Edogawa (voice)
7880466	4808080	Erika Harlacher	F	Mitsuhiko Tsuburaya (voice)
0112471	0000160	Ethan Hawke	M	Jesse
0112471	0000365	Julie Delpy	F	Céline
0113670	0560093	Liesel Matthews	F	Sara Crewe
0113670	0111376	Eleanor Bron	F	Miss Minchin
373889	0705356	Daniel Radcliffe	M	Harry Potter
373889	0914612	Emma Watson	F	Hermione Granger
0383574	0000136	Johnny Depp	M	Jack Sparrow
0383574	0089217	Orlando Bloom	M	Will Turner
0458352	0004266	Anne Hathaway	F	Andy Sachs
0458352	0000658	Meryl Streep	F	Miranda Priestly
0795421	1086543	Amanda Seyfried	F	Sophie
0795421	0000112	Pierce Brosnan	M	Sam
1591095	0933940	Patrick Wilson	M	Josh Lambert
1591095	0126284	Rose Byrne	F	Renai Lambert
1707386	0413168	Hugh Jackman	M	Jean Valjean
1707386	0000128	Russell Crowe	M	Javert
2294629	0068338	Kristen Bell	F	Anna (voice)
2294629	0579953	Idina Menzel	F	Elsa (voice)
4846340	0378245	Taraji P. Henson	F	Katherine G. Johnson
4846340	0818055	Octavia Spencer	F	Dorothy Vaughan
0147800	0005132	Heath Ldeger	M	Patrick Verona
0147800	0005466	Julia Stiles	F	Kat Stratford
4633694	4271336	Shameik Moore	M	Miles Morales
4633694	2159926	Jake Johnson	M	Peter B. Parker
4633694	2794962	Hailee Steinfeld	F	Gwen Stacy
5013056	7887725	Fionn Whitehead	M	Tommy
5013056	0362766	Tom Hardy	M	Farrier
5013056	4110963	Jack Lowden	M	Collins
5013056	4089170	Harry Styles	M	Alex
6146586	0000206	Keanu Reeves	M 	John Wick
6146586	0000932	Halle Berry	F	Sofia
0241527	0705356	Daniel Radcliffe	M	Harry Potter
0241527	0342488	Rupert Grint	M	Ron Weasley
0241527	0914612	Emma Watson	F	Hermone Granger
0241527	0001321	Richard Harris	M	Albus Dumbledore
0241527	0001059	Robbie Coltrane	M	Hagrid
0241527	0001324	Ian Hart	M	Professor Quirrell
0241527	0271657	Tom Felton	M	Draco Malfoy
0295297	0705356	Daniel Radcliffe	M	Harry Potter
0295297	0342488	Rupert Grint	M	Ron Weasley
0295297	0914612	Emma Watson	F	Hermone Granger
0295297	0429363	Kenneth Branagh	M	Gilderoy Lockhart
0295297	0000110	Toby Jones	M	Dobby
0304141	0705356	Daniel Radcliffe	M	Harry Potter
0304141	0342488	Rupert Grint	M	Ron Weasley
0304141	0914612	Emma Watson	F	Hermone Granger
0304141	0000198	Gary Oldman	M	Sirius Black
0304141	0000667	David Thewlis	M	Professor Lupin
0330373	0705356	Daniel Radcliffe	M	Harry Potter
0330373	0342488	Rupert Grint	M	Ron Weasley
0330373	0914612	Emma Watson	F	Hermone Granger
0330373	0001758	Timothy Spall 	M	Wormtail
0330373	0000146	Ralph Fiennes 	M	Lord Voldemort
0926084	0705356	Daniel Radcliffe	M	Harry Potter
0926084	0342488	Rupert Grint	M	Ron Weasley
0926084	0914612	Emma Watson	F	Hermone Granger
0926084	0000146	Ralph Fiennes 	M	Lord Voldemort
0926084	0000307	Helena Bonham Carter 	F	Bellatrix Lestrange
