Movie_id	Director_id	Name	Director_genres
0059742	0936404	Robert Wise	Drama | Family | Musical
0120338	0000116	James Cameron	Action | Sci-Fi | Adventure
0125439	0585011	Roger Michell	Mystery | Drama | Romance
0209144	0634240	Christopher Nolan	Action | Crime | Drama
0314331	0193485	Richard Curtis	Comedy | Drama | Fantasy
0332136	0432627	Gil Junger	Comedy | Drama | Romance
0471041	1470993	Scott Mann	Action | Drama | Thriller
0482571	0634240	Christopher Nolan	Action | Crime | Drama
2209418	0000500	Richard Linklater	Comedy | Music | Drama
8623904	0082450	Paul Feig	Comedy|Crime|Drama
0080761	0192446	Sean S. Cunningham	Horror | Documentary | Thriller
0082418	0591171	Steve Miner	Drama | Romance | Family
0083972	0591171	Steve Miner	Drama | Romance | Family
0087298	0957263	Joseph Zito	Drama | Adventure | Fantasy
0089173	0826164	Danny Steinmann	Drama | Horror | Thriller
0091080	0572951	Tom McLoughlin	Comedy | Horror | Drama
0095179	0119106	John Carl Buechler	Horror | Sci-Fi | Comedy
0097388	0373154	Rob Hedden	Drama | Crime | Action
0112384	0000165	Ron Howard	Comedy | Family | Drama
0496806	0001752	Steven Soderbergh	Drama | Comedy | Documentary
1396218	0914134	Mark Waters	Drama|Comedy|Romance
1620981	0862911	Greg Tiernan	Family|Animation|Comedy
2245084	0930261	Chris Williams	Animation|Family|Comedy
4123430	0946734	David Yates	Drama|Documentary|Crime
5028340	0551128	Rob Marshall	Documentary|Talk-Show|News
1911658	0201509	Eric Darnell	Animation|Comedy|Short
0315327	0001723	Tom Shadyac	Comedy|Drama|Documentary
0413099	0001723	Tom Shadyac	Comedy|Drama|Documentary
0381707	0005540	Keenen Ivory Wayans	Comedy|Talk-Show|Music
1355644	0878763	Morten Tyldum	Music|Drama|Thriller
4126476	1788310	Jenny Gage	 Documentary | Drama | Talk-Show 
0033467	0000080	Orson Welles	 Documentary | Drama | Comedy 
0034583	0002031	Michael Curtiz	Drama | Romance | Comedy
0045152	0002045	Stanley Donen	Comedy | Documentary | Romance
0052357	0000033	Alfred Hitchcock	Drama | Thriller | Mystery
0032138	0281808	 Victor Fleming	Drama | Romance | Comedy
0081398	0000217	Martin Scorsese	Documentary | Drama | Comedy
0054215	0000033	Alfred Hitchcock	Drama | Thriller | Mystery
0061722	0001566	Mike Nichols	Comedy | Drama | Documentary
7880466	5117369	Yuzuru Tachikawa	Animation | Drama | Action
0112471	0000500	Richard Linklater	Comedy | Documentary | Talk-Show
0113670	0190859	Alfonso Cuarón	Drama | Short | Documentary
373889	0946734	David Yates	Drama | Documentary | Crime
0383574	0893659	Gore Verbinski	Documentary | Short | Adventure
0458352	0291205	David Frankel	Comedy | Drama | Romance
0795421	1630273	Phyllida Lloyd	Documentary | Drama | Short
1591095	1490123	James Wan	Action | Drama | Adventure
1707386	0393799	Tom Hooper	Drama | Talk-Show | Romance
2294629	0118333	Chris Buck	Animation | Family | Comedy
4846340	0577647	Theodore Melfi	Comedy | Drama | Short
0147800	0432627	Gil Junger	Comedy | Family | Romance
4633694	2130108	Bob Persichetti	Animation | Family | Adventure
4633694	0709056	Peter Ramsey	Adventure | Comedy | Drama
5013056	0634240	Christopher Nolan	Documentary | Short | Talk-Show
6146586	0821432	Chad Stahelski	Action | Thriller | Sci-Fi
0241527	0001060	Chris Columbus	Comedy | Family | Documentary
0295297	0001060	Chris Columbus	Comedy | Family | Documentary
0304141	0190859	Alfonso Cuarón	Drama | Short | Documentary
0330373	0001565	Mike Newell	Drama | Comedy | Documentary
0926084	0946734	David Yates	Drama | Documentary | Crime
1201607	0946734	David Yates	Drama | Documentary | Crime
0417741	0946734	David Yates	Drama | Documentary | Crime
0449088	0893659	Gore Verbinski	Documentary | Short | Adventure
2278388	0027572	Wes Anderson	Comedy | Documentary | Drama
1464540	0142286	D.J.Caruso	Drama | Thriller | Crime
1790809	1650283	Espen Sandberg	Drama | History | Action
1790864	1226871	Wes Ball	Short | Documentary | Talk-Show
2692250	0506613	Shawn Levy	Comedy | Drama | Family
2948356	0397174	Byron Howard	Animation | Family | Comedy
4046784	1226871	Wes Ball	Short | Documentary | Talk-Show
0083658	0000631	Ridley Scott	Drama | Crime | Mystery
0114709	0005124	John Lasseter	Animation | Family | Comedy
8119680	7916579	Tae-Gyun Kim	Crime | Drama | Talk-Show
0120363	0005124	John Lasseter	Animation | Family | Comedy
0198781	0230032	Pete Docter	Animation | Family | Comedy
0435761	0881279	Lee Unkrich	Drama | Family | Adventure
1449283	0027459	Stephen J. Anderson	Animation | Adventure | Family
1453405	0768959	Dan Scanlon	Animation | Family | Comedy
4500922	1226871	Wes Ball	Short | Documentary | Talk-Show
5848272	1601882	Phil Johnston	Comedy | Short | Adventure
6083230	0948027	Soon-rye Yim	Drama | Comedy | Documentary
0245429	0594503	Hayao Miyazaki	Animation | Family | Adventure
0347149	0594503	Hayao Miyazaki	Animation | Family | Adventure
0876563	0594503	Hayao Miyazaki	Animation | Family | Adventure
0983213	1396121	Makoto Shinkai	Animation | Drama | Short
2140203	0396074	Mamoru Hosoda	Animation | Thriller | Action
2323836	2171473	Tatsuyuki Nagai	Animation | Drama | Comedy
5311514	1396121	Makoto Shinkai	Animation | Drama | Short
5323662	2210720	Naoko Yamada	Animation | Comedy | Drama
6317962	0793840	Akiyuki Shinbo	Animation | Comedy | Romance
9426210	1396121	Makoto Shinkai	Animation | Drama | Short
2380307	0629272	Andrew Niccol	Animation | Adventure | Comedy
2380307	2937122	Adrian Molina	 Animation | Adventure | Comedy
0457430	0868219	Guillermo del Toro	Documentary
3544112	0138809	John Carney	Comedy | Drama | Music
0462538	0798899	David Silverman	Animation | Adventure | Comedy
1825683	3363032	Ryan Coogler	 Action | Adventure | Sci-Fi
0988045	0005363	Guy Ritchie	Adventure | Family | Fantasy
3262342	3699790	Dorota Kobiela	Animation | Biography | Crime
3262342	1364790	Hugh Welchman	Animation | Biography | Crime
3846674	0426287	Susan Johnson	Drama | Romance
2582846	1837748	Josh Boone	Drama | Romance
5726616	0345174	Luca Guadagnino	Drama | Romance
0364569	0661791	Chan-wook Park	 Action | Drama | Mystery | Thriller
0087843	0001466	Sergio Leone	Crime|Drama 
0051201	0000697	Billy Wilder	 Crime | Drama | Film-Noir | Mystery | Thriller
3778644	0000165	Ron Howard 	 Action | Adventure | Sci-Fi
1345836	0634240	Christopher Nolan	 Action | Thriller
2488496	0009190	J.J. Abrams	Action | Adventure | Sci-Fi
1185834	1396048	Dave Filoni	Animation | Action | Adventure | Family | Fantasy | Sci-Fi
0120915	0000184	George Lucas	Action | Adventure | Sci-Fi
0121765	0000184	George Lucas	Action | Adventure | Sci-Fi
0121766	0000184	George Lucas	Action | Adventure | Sci-Fi
0099785	0001060	Chris Columbus	Comedy | Family | Documentary
0104431	0001060	Chris Columbus	Comedy | Family | Documentary
0119303	0331532	Raja Gosnell	Comedy | Family
0332379	0000500	Richard Linklater	Comedy | Documentary | Family
0418279	0000881	Michael Bay	Drama  | Action | Thriller
