Movie_id	Movie_name	Movie_year	Movie_genres	Runtime	Rating	Plot	Budget	Gross_glob	Submitter_id
0059742	The Sound of Music	1965	Drama | Family | Musical	172	8	A woman leaves an Austrian convent to become a governess to the children of a Naval officer widower.	8200000	159413574	2017113323
0120338	Titanic	1997	Drama|Romance	194	7.8	A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.	200000000	2187463944	2017113323
0125439	Notting Hill	1999	Comedy | Romance | Drama	124	7.1	The life of a simple bookshop owner changes when he meets the most famous film star in the world.	42000000	363944522	2017113323
0209144	Memento	2000	Mystery | Thriller	113	8.4	A man with short-term memory loss attempts to track down his wife's murderer.	9000000	39723096	2017113323
0314331	Love Actually	2013	Comedy | Romance | Drama	135	7.6	Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England.	40000000	244931766	2017113323
0332136	If Only	2004	Comedy | Drama | Fantasy	92	7.2	It takes a tragedy to teach the young businessman Ian to put love ahead of work and open up to his musician girlfriend Samantha.			2017113323
0471041	The Tournament	2009	Action | Thriller	95	6.1	A tournament is watched by dozens of wealthy men betting on which one of the 30 assassins will survive the next 24 hours kill or die and claim the USD10,000,000 prize. It takes place in an English town with plenty of CCTVs.	8000000	493459	2017113323
0482571	The Prestige	2006	Drama | Mystery | Sci-Fi	130	8.5	After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.	40000000	109676311	2017113323
2209418	Before Midnight	2013	Drama | Romance	109	7.9	We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.	3000000	11176469	2017113323
8623904	Last Christmas	2019	Comedy | Drama | Romance	102	6.6	Kate is a young woman subscribed to bad decisions. Her last date with disaster? That of having accepted to work as Santa's elf for a department store. However, she meets Tom there. Her life takes a new turn. For Kate, it seems too good to be true.	25000000	14700000	2017113323
0080761	Friday the 13th	1980	Horror | Mystery | Thriller 	95	6.5	A group of camp counselors are stalked and murdered by an unknown assailant while trying to reopen a summer camp where, years before, it was the site of a child's drowning and a grisly double murder.	550000	39754601	2017110875
0082418	Friday the 13th: Part 2	1981	Horror | Mystery | Thriller	87	6.1	Mrs. Voorhees is dead, and Camp Crystal Lake is shut down, but a camp next to the infamous place is stalked by an unknown assailant.	1250000	21722776	2017110875
0083972	Friday the 13th: Part III	1982	Horror | Thriller	95	5.7	Having revived from his wounds, Jason Voorhees takes refuge at a cabin near Crystal Lake. As a group of co-eds arrive for their vacation, Jason continues his killing spree.	2300000	36690067	2017110875
0087298	Friday the 13th: The Final Chapter	1984	Horror | Thriller	91	6	After being mortally wounded and taken to the morgue, murderer Jason Voorhees spontaneously revives and embarks on a killing spree as he makes his way back to his home at Camp Crystal Lake.	2600000	32980880	2017110875
